genome	genus_cluster	species_cluster
MF093736	1	1
MG049919	1	1
LC516895	1	2
MZ501092	1	3
KP085586	1	4
MF468274	1	5
KU194205	1	6
AY216660	1	7
OL960582	1	8
MH051911	1	9
KY985004	1	10
JX912252	1	11
HM035024	1	12
query_UP30	1	13
OQ223306	1	14
MT682715	1	15
OL960579	1	16
MN296515	1	17
OP455115	1	18
MH285980	1	19
KX828710	1	20
OP094641	1	21
OL960578	1	22
OL800706	1	23
KU194206	1	24
