A	B	sim
MF093736:Tunavirus	MG049919:Tunavirus	96.97871751255983
MF468274:Tunavirus	MN296515:Tunavirus	90.95142584796251
KU194206:Tunavirus	KY985004:Tunavirus	90.83633858746302
KU194205:Tunavirus	KY985004:Tunavirus	90.75221862234118
MH051911:Tunavirus	MZ501092:Tunavirus	90.15873331609413
KY985004:Tunavirus	MH051911:Tunavirus	90.067577080107
AY216660:Tunavirus	KU194205:Tunavirus	90.06092763330442
KU194206:Tunavirus	MH051911:Tunavirus	89.61213018343302
MZ501092:Tunavirus	OL800706:Tunavirus	89.60763308336921
HM035024:Tunavirus	MF468274:Tunavirus	89.56700704504077
KU194206:Tunavirus	MZ501092:Tunavirus	89.55019034261672
KY985004:Tunavirus	MN296515:Tunavirus	89.52885901988994
KU194206:Tunavirus	OL800706:Tunavirus	89.26669150296526
JX912252:Tunavirus	OL800706:Tunavirus	88.74711944214444
MT682715:Tunavirus	OL960579:Tunavirus	88.74502776574377
KX828710:Tunavirus	LC516895:Tunavirus	88.7351072279587
KP085586:Tunavirus	MF093736:Tunavirus	88.7169350272665
HM035024:Tunavirus	KP085586:Tunavirus	88.62856008732757
MF093736:Tunavirus	MF468274:Tunavirus	88.62796755375518
KP085586:Tunavirus	OL960578:Tunavirus	88.62134041114554
MT682715:Tunavirus	OL960582:Tunavirus	88.59421656451359
KY985004:Tunavirus	MZ501092:Tunavirus	88.43775181305399
MH051911:Tunavirus	OL800706:Tunavirus	88.420978979039
KU194206:Tunavirus	MN296515:Tunavirus	88.32964767803716
MN296515:Tunavirus	MZ501092:Tunavirus	88.30459398413946
JX912252:Tunavirus	MH051911:Tunavirus	88.2762174697243
LC516895:Tunavirus	MF093736:Tunavirus	88.27284279077155
MH051911:Tunavirus	MN296515:Tunavirus	88.2379821781588
OL960579:Tunavirus	OL960582:Tunavirus	88.14418724178148
HM035024:Tunavirus	query_UP30	88.09791531917011
JX912252:Tunavirus	MZ501092:Tunavirus	88.06777574843167
MF468274:Tunavirus	query_UP30	88.06129473148637
MF468274:Tunavirus	OL960582:Tunavirus	88.04395126196692
JX912252:Tunavirus	KU194206:Tunavirus	87.91076063086444
KP085586:Tunavirus	MF468274:Tunavirus	87.90592168099332
KP085586:Tunavirus	KY985004:Tunavirus	87.89076282548868
KY985004:Tunavirus	OL800706:Tunavirus	87.7451228524859
MN296515:Tunavirus	OL800706:Tunavirus	87.5357507150143
KY985004:Tunavirus	MH285980:Tunavirus	87.41722526914484
KU194205:Tunavirus	KU194206:Tunavirus	87.39967576006245
KP085586:Tunavirus	MN296515:Tunavirus	87.37776095919058
JX912252:Tunavirus	MN296515:Tunavirus	87.3568574572927
HM035024:Tunavirus	MF093736:Tunavirus	87.34798715732279
KP085586:Tunavirus	query_UP30	87.34378595799606
MH285980:Tunavirus	MZ501092:Tunavirus	87.29460447551324
MF093736:Tunavirus	MN296515:Tunavirus	87.22552119992466
KU194205:Tunavirus	MH285980:Tunavirus	87.22283535667704
MH285980:Tunavirus	OL800706:Tunavirus	87.18870191094376
